"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 부평구 갈산동","362","0362","0000","하나","84.7500","202312","30","33,000","제104동","1","-","-","1992","갈월서로 45","-","중개거래","인천 부평구","24.04.18"
"2","인천광역시 부평구 부평동","495-2","0495","0002","뉴플러스","69.9800","202312","30","25,000","-","10","-","-","2011","부일로 18","-","중개거래","인천 부평구","24.04.12"
"3","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9630","202312","30","63,000","-","12","-","-","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"4","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","52.4300","202312","30","33,900","6","12","-","-","1987","부평문화로 37","-","중개거래","인천 부평구","24.01.19"
"5","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202312","30","31,500","217","11","-","-","1999","원적로 361","-","중개거래","인천 부평구","24.02.19"
"6","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","84.8900","202312","30","27,400","202","13","-","-","1991","부흥로123번길 36","-","중개거래","인천 부평구","24.01.26"
"7","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","59.8990","202312","30","46,000","-","12","-","-","2022","산곡로 31","-","중개거래","인천 부평구","-"
"8","인천광역시 부평구 산곡동","507","0507","0000","금호이수마운트밸리","59.8167","202312","30","36,500","105","7","-","-","2007","원적로 344","-","중개거래","인천 부평구","24.01.23"
"9","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","72.9227","202312","30","57,000","102","7","-","-","2020","동수천로 117","-","중개거래","인천 부평구","24.02.19"
"10","인천광역시 부평구 부개동","531","0531","0000","e편한세상부평역어반루체","59.9930","202312","30","42,700","105동","3","-","-","2022","경인로1024번길 21","-","중개거래","인천 부평구","24.05.31"
"11","인천광역시 부평구 청천동","259","0259","0000","쌍용","72.3100","202312","30","26,800","2","2","-","-","1990","길주로494번길 12","-","중개거래","인천 부평구","24.02.23"
"12","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","59.8050","202312","30","28,500","204","2","-","-","1998","안남로 272","-","중개거래","인천 부평구","24.01.18"
"13","인천광역시 부평구 갈산동","171","0171","0000","부평지웰에스테이트","59.9900","202312","30","35,800","101동","3","-","-","2021","주부토로249번길 17","-","중개거래","인천 계양구 인천 부평구","24.01.26"
"14","인천광역시 부평구 갈산동","361-3","0361","0003","대동2","45.0000","202312","30","18,000","201","9","-","-","1993","주부토로 201","-","중개거래","인천 부평구","24.02.06"
"15","인천광역시 부평구 갈산동","159","0159","0000","대우","59.9300","202312","30","34,500","105","4","-","-","2001","평천로305번길 15","-","중개거래","인천 부평구","24.03.05"
"16","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","134.9650","202312","29","63,900","101","10","-","-","1999","부개로 58","-","중개거래","인천 부평구","24.03.27"
"17","인천광역시 부평구 갈산동","159","0159","0000","대우","59.9300","202312","29","33,000","105","12","-","-","2001","평천로305번길 15","-","중개거래","인천 부평구","24.01.29"
"18","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","38.6400","202312","29","15,500","107","8","-","-","1992","굴포로 81","-","직거래","-","24.01.19"
"19","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","59.5600","202312","29","31,500","103","8","-","-","1996","길주남로 143","-","중개거래","인천 부평구","24.02.27"
